feature,importance
categorical__IDX_406393.0,0.20929436
numeric__history_mean_4lags,0.067922525
categorical__Brand_HEBE,0.019261494
categorical__IDX_406427.0,0.016195495
categorical__DIV2_84301.0,0.014064759
numeric__lag_1,0.013736273
categorical__DIV2_81109.0,0.011899173
categorical__IDX_420875.0,0.010984363
categorical__Brand_KRYSTALICZNE ŹRÓDŁO,0.01080765
categorical__Brand_MISSHA,0.009273928
categorical__IDX_387034.0,0.009064884
categorical__DIV2_83102.0,0.008969106
categorical__DIV2_81106.0,0.008679699
categorical__IDX_434361.0,0.0083991205
numeric__dow,0.008308626
numeric__lag_7,0.00791095
categorical__Brand_HEBE BASICS,0.0077038826
categorical__DIV2___MISSING__,0.007203652
categorical__Brand_ELMEX,0.0070950193
categorical__Brand_REVOX,0.0069875075
categorical__DIV2_81102.0,0.0069470676
numeric__lag_28,0.0067572678
categorical__IDX_253620.0,0.0066755814
numeric__lag_14,0.006131058
categorical__IDX_359446.0,0.0060782204
categorical__IDX_371311.0,0.005750313
categorical__IDX_268126.0,0.0057291817
numeric__week_of_year,0.005707303
categorical__IDX_386855.0,0.0056709824
categorical__IDX_434362.0,0.0056358497
categorical__Brand_BEWA,0.0053075063
categorical__IDX_267351.0,0.005294483
categorical__DIV2_83302.0,0.005274498
categorical__StoreNo_R433,0.005176038
categorical__Brand_LIPTON,0.00513503
categorical__IDX_248187.0,0.0051285084
categorical__StoreNo_R195,0.0050395746
categorical__DIV2_81108.0,0.0050243265
categorical__IDX_301819.0,0.0049917055
numeric__day_of_month,0.004980296
categorical__IDX_268131.0,0.004905862
categorical__Brand_ANWEN,0.004881911
categorical__IDX_390581.0,0.0048567927
categorical__Brand_HOLIKA HOLIKA,0.0047582192
categorical__IDX_390681.0,0.004756599
categorical__Brand_BY HEBE,0.0046305466
numeric__promo,0.0046217158
categorical__IDX_235939.0,0.004496501
numeric__month,0.004440158
categorical__IDX_301820.0,0.0041985484
categorical__IDX_218579.0,0.004046388
categorical__Brand___MISSING__,0.0038586452
categorical__DIV2_82105.0,0.0038558848
categorical__IDX_390555.0,0.003739838
categorical__Brand_CLEANIC,0.0036919257
categorical__IDX_413041.0,0.0036918798
categorical__Brand_EVELINE,0.0036100792
categorical__IDX_407817.0,0.0035891074
