rotation_group,model,rows,actual_mean_sales,zero_sales_percent,MAE,RMSE,WAPE_percent
low,global_xgboost,18544,1.0768,46.78,0.9766,1.3545,90.69
low,segmented_xgboost,18544,1.0768,46.78,0.9712,1.3761,90.19
low,naive_t_minus_1,18059,1.0803,46.83,1.2732,1.9139,117.85
low,seasonal_naive_t_minus_7,18544,1.0768,46.78,1.2187,1.8544,113.17
medium,global_xgboost,17942,1.4364,43.45,1.2187,1.8331,84.85
medium,segmented_xgboost,17942,1.4364,43.45,1.2389,1.8584,86.25
medium,naive_t_minus_1,17460,1.4385,43.55,1.5635,2.4734,108.69
medium,seasonal_naive_t_minus_7,17942,1.4364,43.45,1.5533,2.5324,108.14
high,global_xgboost,17883,3.4774,33.79,2.4555,4.9309,70.61
high,segmented_xgboost,17883,3.4774,33.79,2.4843,4.9989,71.44
high,naive_t_minus_1,17390,3.4891,33.9,3.1684,6.9512,90.81
high,seasonal_naive_t_minus_7,17883,3.4774,33.79,3.2268,7.0829,92.79
