StoreNo,IDX,days,mean_daily_sales,median_daily_sales,positive_sales_days,zero_sales_days,positive_day_share,zero_day_share,rotation_group
R195,213703.0,568,1.7183098591549295,1.0,372,196,0.6549295774647887,0.34507042253521125,high
R195,213714.0,540,0.9722222222222222,1.0,293,247,0.5425925925925926,0.45740740740740743,low
R195,213734.0,539,1.9907235621521335,1.0,379,160,0.7031539888682746,0.29684601113172543,high
R195,213747.0,536,1.2649253731343284,1.0,306,230,0.5708955223880597,0.4291044776119403,medium
R195,214459.0,568,2.0598591549295775,1.0,381,187,0.670774647887324,0.32922535211267606,high
R195,214460.0,566,1.2720848056537102,1.0,320,246,0.5653710247349824,0.43462897526501765,medium
R195,214461.0,568,1.153169014084507,1.0,330,238,0.5809859154929577,0.41901408450704225,low
R195,214462.0,566,1.5600706713780919,1.0,337,229,0.5954063604240283,0.4045936395759717,medium
R195,214472.0,547,1.1078610603290677,1.0,319,228,0.583180987202925,0.41681901279707495,low
R195,214475.0,545,0.8899082568807339,1.0,277,268,0.5082568807339449,0.4917431192660551,low
R195,214479.0,554,0.7689530685920578,1.0,282,272,0.5090252707581228,0.49097472924187724,low
R195,215088.0,568,1.102112676056338,0.0,266,302,0.46830985915492956,0.5316901408450704,low
R195,215263.0,523,1.2179732313575526,1.0,284,239,0.5430210325047801,0.4569789674952199,medium
R195,215283.0,566,1.7385159010600706,1.0,372,194,0.657243816254417,0.34275618374558303,high
R195,215321.0,567,1.9347442680776015,1.0,400,167,0.7054673721340388,0.2945326278659612,high
R195,215328.0,538,0.9646840148698885,0.0,266,272,0.4944237918215613,0.5055762081784386,low
R195,217492.0,559,1.1717352415026834,0.0,270,289,0.48300536672629696,0.516994633273703,medium
R195,217497.0,562,1.0729537366548043,1.0,304,258,0.5409252669039146,0.45907473309608543,low
R195,217503.0,568,1.0316901408450705,1.0,286,282,0.5035211267605634,0.4964788732394366,low
R195,217527.0,558,0.8745519713261649,1.0,285,273,0.510752688172043,0.489247311827957,low
R195,217838.0,562,0.8807829181494662,1.0,293,269,0.5213523131672598,0.4786476868327402,low
R195,217935.0,511,1.557729941291585,1.0,338,173,0.6614481409001957,0.3385518590998043,medium
R195,217939.0,515,1.4,1.0,316,199,0.6135922330097088,0.3864077669902913,medium
R195,217947.0,560,0.9053571428571429,1.0,298,262,0.5321428571428571,0.46785714285714286,low
R195,217962.0,566,1.4187279151943464,1.0,353,213,0.6236749116607774,0.3763250883392226,medium
R195,217964.0,543,0.8655616942909761,0.0,265,278,0.4880294659300184,0.5119705340699816,low
R195,218152.0,550,0.8963636363636364,0.5,275,275,0.5,0.5,low
